
2024/09/02 (00:08:58) | ===> btop++ v.1.3.0
2024/09/02 (00:08:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/02 (00:08:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/08 (14:48:49) | ===> btop++ v.1.3.0
2024/09/08 (14:48:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/08 (14:48:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/09 (00:00:38) | ===> btop++ v.1.3.0
2024/09/09 (00:00:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (00:00:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/09/09 (00:03:47) | INFO: Logger set to INFO
2024/09/09 (00:03:47) | INFO: Logger set to DEBUG
2024/09/09 (00:03:49) | INFO: Logger set to INFO
2024/09/09 (00:03:49) | INFO: Logger set to DEBUG

2024/09/09 (01:24:42) | ===> btop++ v.1.3.0
2024/09/09 (01:24:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (01:24:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/09 (01:24:57) | ===> btop++ v.1.3.0
2024/09/09 (01:24:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (01:24:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported
